name,category,dish_role,cooking_method,spice_level,suitable_meals,origin,serving_size_g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,purine_mg,calcium_mg,iron_mg,zinc_mg,vitamin_a_mcg,vitamin_c_mg,tags,data_source,source_url,note
Bún thang,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hà Nội,347,431.8,27.4,52.6,12.3,1.1,0.2,1603.3,201.3,,59.7,2.8,2.7,,3.6,contains_egg|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + thịt gà xé 50g + giò lụa 40g + trứng tráng thái chỉ 30g + hành lá 15g + nước mắm 12g. Vay USDA: calcium_mg, cholesterol_mg, iron_mg, sodium_mg, zinc_mg. Giò lụa tính theo mục thịt lợn nạc hấp; tôm he khô rắc lên chưa tính"
Bún ốc,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Hà Nội,367,307.3,13.4,61.5,0.7,1.6,,1030.2,40.0,,1089.2,4.3,1.8,,25.6,contains_seafood|sour,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + ốc nhồi 80g + cà chua 60g + hành lá 15g + nước mắm 12g. Vay USDA: cholesterol_mg, iron_mg, sodium_mg, zinc_mg. Vị chua từ giấm bỗng, lượng không đáng kể về năng lượng"
Bánh đa cua Hải Phòng,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Hải Phòng,367,346.9,17.0,62.2,3.4,0.9,1.3,1274.8,54.6,32.9,177.6,3.0,3.5,,29.1,contains_seafood,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bánh đa đỏ 180g + cua đồng 70g + rau muống 50g + cà chua 40g + hành lá 15g + nước mắm 12g. Vay USDA: cholesterol_mg, zinc_mg. Bánh đa đỏ tính theo bánh phở vì cùng là sợi bột gạo; chả lá lốt ăn kèm chưa tính"
Bún măng vịt,mon_nuoc,main,khac,0,lunch|dinner,Miền Nam,377,452.2,19.6,53.5,17.7,4.0,2.1,1020.1,60.8,,59.8,2.8,2.5,,4.7,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + thịt vịt 80g + măng tươi 70g + hành lá 15g + nước mắm 12g. Vay USDA: sodium_mg, zinc_mg. Măng tươi đã luộc bỏ nước; nếu dùng măng khô phải đổi sang mã 4051, năng lượng gấp mười lần"
Miến lươn,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Nghệ An,275,311.6,17.8,41.2,8.3,1.5,,845.6,88.2,,63.0,1.7,1.7,,4.6,contains_seafood,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: miến dong đã ngâm 150g + lươn 70g + giá đỗ 30g + hành lá 15g + nước mắm 10g. Vay USDA: sodium_mg, zinc_mg. Miến dong tính theo bún tươi vì bảng gốc không có mục miến — điểm yếu cần rà lại"
Bún cá rô đồng,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hải Dương,367,338.5,20.5,53.6,4.6,2.2,1.0,1026.0,40.0,,108.2,2.0,1.4,,32.2,contains_seafood|light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + cá rô đồng 80g + rau cải 60g + hành lá 15g + nước mắm 12g. Vay USDA: cholesterol_mg, sodium_mg, zinc_mg. Cá rô rán sơ trước khi nấu, phần dầu thấm vào chưa tính"
Bún chả cá,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Nha Trang,387,373.3,19.6,54.7,8.4,3.1,1.1,1063.3,56.0,,86.0,2.6,1.8,,21.2,contains_seafood|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + chả cá thu 80g + măng 40g + cà chua 40g + hành lá 15g + nước mắm 12g. Vay USDA: cholesterol_mg, sodium_mg, zinc_mg. Chả cá tính theo cá thu tươi; phần bột và dầu chiên chả chưa tính, ước thiếu khoảng 40 kcal"
Canh bún,mon_nuoc,main,khac,1,lunch|dinner,Hà Nội,392,304.4,14.2,56.3,2.4,2.1,1.4,1270.6,46.8,,186.0,3.0,3.2,,34.5,contains_seafood,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + cua đồng 60g + rau muống 80g + cà chua 40g + nước mắm 12g. Vay USDA: cholesterol_mg, sodium_mg, zinc_mg. Đậu phụ rán ăn kèm chưa tính"
Cháo lòng,mon_nuoc,main,khac,0,breakfast|dinner,Toàn quốc,185,335.8,19.3,39.0,11.4,0.3,0.0,804.5,34.0,,32.8,17.2,1.8,,2.6,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: gạo tẻ 50g + tiết luộc 60g + thịt lợn 50g + hành lá 15g + nước mắm 10g. Bảng gốc không có mục lòng heo; phần lòng tạm tính theo thịt lợn nạc vừa, đây là xấp xỉ thô"
Cháo sườn,mon_nuoc,main,khac,0,breakfast|dinner,Hà Nội,123,316.2,14.0,34.9,13.4,0.2,0.0,654.6,40.8,,25.5,1.7,1.9,,2.3,light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: gạo tẻ 45g + thịt sườn 60g + hành lá 10g + nước mắm 8g. Bảng gốc không có mục sườn heo; tính theo thịt lợn nạc vừa nên thiếu phần mỡ và tủy
Cháo cá chép,mon_nuoc,main,khac,0,breakfast|dinner,Toàn quốc,180,243.5,17.6,35.6,3.5,1.5,0.9,817.2,56.0,,42.8,1.8,2.3,,1.9,contains_seafood|light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: gạo tẻ 45g + cá chép 80g + măng 30g + hành lá 15g + nước mắm 10g. Gạo tính theo khối lượng khô trước khi nấu
Súp cua,mon_nuoc,snack,khac,0,snack|dinner,Miền Nam,168,226.5,18.2,24.4,6.2,1.2,1.2,842.1,227.0,,103.3,4.4,2.0,,6.1,contains_egg|contains_seafood,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: thịt cua biển 50g + trứng gà 40g + ngô ngọt 50g + nấm hương 20g + nước mắm 8g. Vay USDA: sodium_mg, zinc_mg. Bột năng tạo độ sánh chưa tính, ước thiếu khoảng 30 kcal"
Hủ tiếu bò kho,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Miền Nam,362,391.7,24.6,64.6,3.9,1.1,4.0,1031.8,47.2,14.1,80.8,3.8,3.3,,8.7,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: hủ tiếu 180g + thịt bò bắp 80g + cà rốt 60g + hành tây 30g + nước mắm 12g. Vay USDA: zinc_mg. Sợi hủ tiếu tính theo bánh phở; nước kho có dầu điều và bột năng chưa tính
Mì vằn thắn,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hà Nội,272,633.8,32.3,90.2,15.9,1.0,0.2,1075.9,239.4,,436.4,4.7,4.3,,1.1,contains_egg|contains_gluten|contains_seafood|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: mì trứng khô 120g + tôm 40g + thịt lợn 50g + trứng 30g + nấm hương 20g + nước mắm 12g. Vay USDA: cholesterol_mg, iron_mg, sodium_mg, zinc_mg. Mì trứng tính theo khối lượng khô; khi luộc chín nở khoảng 2,5 lần"
Phở bò chín,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hà Nội,317,397.2,21.1,59.7,8.2,0.9,1.3,994.1,49.7,,70.5,3.6,4.3,,19.3,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bánh phở tươi 180g + thịt bò nạm 70g + giá đỗ 30g + hành lá 15g + rau mùi 10g + nước mắm 12g. Vay USDA: cholesterol_mg, sodium_mg, zinc_mg. Dùng thịt bò loại II vì nạm nhiều mỡ hơn thăn; đây là khác biệt duy nhất so với phở bò tái"
Phở sốt vang,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Hà Nội,362,443.7,23.9,63.9,10.3,0.9,3.6,1022.3,63.9,12.4,75.9,3.7,6.0,,8.0,salty|fatty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bánh phở tươi 180g + thịt bò nạm 90g + cà rốt 50g + hành tây 30g + nước mắm 12g. Vay USDA: cholesterol_mg, sodium_mg, zinc_mg. Rượu vang trong nước sốt bay hơi khi hầm nên không tính; dầu điều tạo màu chưa tính"
Bún riêu ốc,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Hà Nội,412,365.8,21.4,60.7,4.1,1.6,,1203.4,66.2,,1009.8,5.1,3.3,,20.1,contains_seafood|contains_soy|sour,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + ốc nhồi 70g + cua đồng 40g + cà chua 50g + đậu phụ 40g + nước mắm 12g. Vay USDA: cholesterol_mg, iron_mg, sodium_mg, zinc_mg. Kết hợp riêu cua và ốc, là biến thể phổ biến ở Hà Nội"
Bún sườn chua,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Hà Nội,402,410.5,21.2,54.8,11.8,3.1,2.8,1027.2,58.5,,51.5,2.3,4.6,,24.5,sour,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + sườn heo 90g + cà chua 60g + măng chua 40g + nước mắm 12g. Vay USDA: sodium_mg, zinc_mg. Dùng mục sườn heo riêng (7053) thay vì thịt lợn nạc vừa, chính xác hơn cháo sườn đã nhập trước đó"
Bún cá Hải Phòng,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Hải Phòng,392,380.0,20.7,54.7,8.6,1.9,1.3,1079.4,56.0,154.6,134.0,2.9,1.5,,29.9,contains_seafood,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + cá thu 80g + rau muống 60g + cà chua 40g + nước mắm 12g. Vay USDA: cholesterol_mg, sodium_mg, zinc_mg. Cá rán sơ trước khi nấu, phần dầu thấm chưa tính"
Bún mực,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Nha Trang,357,301.8,19.1,54.1,1.0,1.4,,1011.3,209.7,,51.4,1.8,1.5,,22.1,contains_seafood|light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + mực tươi 90g + cà chua 40g + hành lá 15g + nước mắm 12g. Vay USDA: sodium_mg, zinc_mg. Mực tươi, không phải mực khô — mực khô năng lượng gấp bốn lần"
Bún ếch,mon_nuoc,main,khac,2,lunch|dinner,Miền Bắc,342,318.8,23.6,53.3,1.2,1.9,,1021.4,45.0,,56.9,3.3,1.8,,1.6,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + thịt ếch 90g + nấm hương 25g + hành lá 15g + nước mắm 12g. Vay USDA: sodium_mg, zinc_mg. Ếch xào măng trước khi chan nước dùng, phần dầu xào chưa tính"
Miến măng gà,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hà Nội,315,322.2,18.7,40.5,9.4,3.7,2.1,854.9,52.5,,50.9,2.3,2.3,,5.1,light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: miến dong đã ngâm 150g + thịt gà 70g + măng tươi 70g + hành lá 15g + nước mắm 10g. Vay USDA: sodium_mg, zinc_mg. Miến dong tính theo bún tươi vì bảng gốc không có mục miến"
Miến ngan,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hà Nội,307,394.2,18.4,40.3,17.7,2.9,1.5,1009.9,60.8,,49.4,2.5,2.1,,4.5,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: miến dong đã ngâm 150g + thịt ngan 80g + măng 50g + hành lá 15g + nước mắm 12g. Vay USDA: sodium_mg, zinc_mg. Thịt ngan tính theo mục thịt vịt vì bảng gốc không tách hai loài"
Bánh canh giò heo,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Miền Trung,317,648.7,20.3,64.5,34.4,0.1,0.0,972.8,66.6,,49.2,1.2,2.0,,1.6,salty|fatty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: sợi bánh canh 200g + giò heo 90g + hành lá 15g + nước mắm 12g. Vay USDA: zinc_mg. Giò heo tính theo thịt lợn nạc và mỡ (7016); phần da và gân chưa tách riêng
Bánh canh cá lóc,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Miền Trung,317,382.3,25.3,64.5,2.7,0.1,0.0,934.9,0.0,,123.0,0.9,0.6,,1.6,contains_seafood|light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: sợi bánh canh 200g + cá lóc 90g + hành lá 15g + nước mắm 12g. Vay USDA: zinc_mg. Bảng gốc không có cá lóc; tạm dùng mục cá bống (8010) vì cùng nhóm cá nước ngọt thịt trắng — cần rà lại
Hủ tiếu mì,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Miền Nam,287,536.5,23.0,83.7,12.2,0.3,0.0,1008.4,82.3,,327.1,2.4,2.9,,2.6,contains_gluten|contains_seafood|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: hủ tiếu 120g + mì trứng 60g + thịt lợn 50g + tôm 30g + hành lá 15g + nước mắm 12g. Vay USDA: cholesterol_mg, iron_mg, sodium_mg, zinc_mg. Món trộn hai loại sợi; mì trứng tính theo khối lượng khô"
Cháo trai,mon_nuoc,main,khac,0,breakfast|dinner,Hà Nội,170,207.2,8.8,40.3,1.2,0.3,,1377.8,30.0,,166.6,2.4,1.3,,1.6,contains_seafood|light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: gạo tẻ 45g + thịt trai 100g + hành lá 15g + nước mắm 10g. Vay USDA: cholesterol_mg, sodium_mg, zinc_mg. Gạo tính theo khối lượng khô trước khi nấu"
Cháo hàu,mon_nuoc,main,khac,0,breakfast|dinner,Quảng Ninh,160,232.4,12.8,39.6,2.6,0.3,,1118.8,45.0,,55.9,2.5,12.8,,1.6,contains_seafood,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: gạo tẻ 45g + hàu 90g + hành lá 15g + nước mắm 10g. Gạo tính theo khối lượng khô
Cháo tôm,mon_nuoc,main,khac,0,breakfast|dinner,Toàn quốc,140,202.8,12.4,35.2,1.4,0.3,0.0,860.1,112.7,,659.6,1.2,1.7,,1.6,contains_seafood|light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: gạo tẻ 45g + tôm 70g + hành lá 15g + nước mắm 10g. Vay USDA: cholesterol_mg, iron_mg, sodium_mg, zinc_mg. Gạo tính theo khối lượng khô"
Cháo vịt,mon_nuoc,main,khac,0,breakfast|dinner,Miền Nam,155,393.0,18.9,39.0,18.0,0.3,0.0,827.5,60.8,,34.5,2.3,1.9,,4.0,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: gạo tẻ 50g + thịt vịt 80g + hành lá 15g + nước mắm 10g. Gạo tính theo khối lượng khô; nước luộc vịt dùng nấu cháo nên phần mỡ vịt tan vào chưa tính riêng
Cháo đậu xanh,mon_nuoc,main,khac,0,breakfast|dinner,Toàn quốc,80,242.5,11.2,46.9,1.1,1.6,,562.4,0.0,,33.2,2.2,1.0,,1.2,contains_soy|high_fiber|light|vegan|vegetarian,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: gạo tẻ 40g + đậu xanh 30g + nước tương 10g. Đậu xanh tính theo hạt khô. Nêm nước tương thay nước mắm nên thuần chay thật sự
Súp gà ngô non,mon_nuoc,snack,khac,0,snack|dinner,Toàn quốc,173,317.5,20.6,28.2,13.5,0.8,1.5,717.0,209.5,,32.7,2.3,2.2,,10.9,contains_egg|light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: thịt gà xé 60g + ngô ngọt 70g + trứng gà 35g + nước mắm 8g. Bột năng tạo độ sánh chưa tính, ước thiếu khoảng 30 kcal"
Phở chay,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Toàn quốc,349,376.7,20.4,61.5,5.5,2.1,,815.4,0.0,,328.2,6.8,2.5,,18.5,contains_soy|light|vegetarian,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bánh phở tươi 180g + đậu phụ rán 70g + nấm hương 30g + giá đỗ 30g + hành lá 15g + rau mùi 10g + nước tương 14g. Vay USDA: sodium_mg, vitamin_c_mg, zinc_mg. Nước dùng ninh từ củ quả, nêm nước tương. Natri thấp hơn phở thường nhưng không phải bằng không"
Bún riêu chay,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Toàn quốc,397,331.4,15.6,56.6,4.7,2.8,,726.4,0.0,,65.7,5.0,2.0,,25.5,contains_soy|sour|vegan|vegetarian,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + đậu phụ 80g + cà chua 60g + nấm hương 30g + hành lá 15g + nước tương 12g. Vay USDA: sodium_mg, zinc_mg. Riêu làm từ đậu phụ nghiền thay gạch cua; nêm nước tương nên thuần chay"
